Id,Label
0,edible
1,edible
2,edible
3,edible
4,edible
5,edible
6,edible
7,edible
8,edible
9,edible
10,edible
11,edible
12,edible
13,edible
14,edible
15,edible
16,edible
17,edible
18,edible
19,edible
20,edible
21,edible
22,edible
23,edible
24,edible
25,edible
26,edible
27,edible
28,edible
29,edible
30,edible
31,edible
32,edible
33,edible
34,edible
35,edible
36,edible
37,edible
38,edible
39,edible
40,edible
41,edible
42,edible
43,edible
44,edible
45,edible
46,edible
47,edible
48,edible
49,edible
50,edible
51,edible
52,edible
53,edible
54,edible
55,edible
56,edible
57,edible
58,edible
59,edible
60,edible
61,edible
62,edible
63,edible
64,edible
65,edible
66,edible
67,edible
68,edible
69,edible
70,edible
71,edible
72,edible
73,edible
74,edible
75,edible
76,edible
77,edible
78,edible
79,edible
80,edible
81,edible
82,edible
83,edible
84,edible
85,edible
86,edible
87,edible
88,edible
89,edible
90,edible
91,edible
92,edible
93,edible
94,edible
95,edible
96,edible
97,edible
98,edible
99,edible
100,edible
101,edible
102,edible
103,edible
104,edible
105,edible
106,edible
107,edible
108,edible
109,edible
110,edible
111,edible
112,edible
113,edible
114,edible
115,edible
116,edible
117,edible
118,edible
119,edible
120,edible
121,edible
122,edible
123,edible
124,edible
125,edible
126,edible
127,edible
128,edible
129,edible
130,edible
131,edible
132,edible
133,edible
134,edible
135,edible
136,edible
137,edible
138,edible
139,edible
140,edible
141,edible
142,edible
143,edible
144,edible
145,edible
146,edible
147,edible
148,edible
149,edible
150,edible
151,edible
152,edible
153,edible
154,edible
155,edible
156,edible
157,edible
158,edible
159,edible
160,edible
161,edible
162,edible
163,edible
164,edible
165,edible
166,edible
167,edible
168,edible
169,edible
170,edible
171,edible
172,edible
173,edible
174,edible
175,edible
176,edible
177,edible
178,edible
179,edible
180,edible
181,edible
182,edible
183,edible
184,edible
185,edible
186,edible
187,edible
188,edible
189,edible
190,edible
191,edible
192,edible
193,edible
194,edible
195,edible
196,edible
197,edible
198,edible
199,edible
200,edible
201,edible
202,edible
203,edible
204,edible
205,edible
206,edible
207,edible
208,edible
209,edible
210,edible
211,edible
212,edible
213,edible
214,edible
215,edible
216,edible
217,edible
218,edible
219,edible
220,edible
221,edible
222,edible
223,edible
224,edible
225,edible
226,edible
227,edible
228,edible
229,edible
230,edible
231,edible
232,edible
233,edible
234,edible
235,edible
236,edible
237,edible
238,edible
239,edible
240,edible
241,edible
242,edible
243,edible
244,edible
245,edible
246,edible
247,edible
248,edible
249,edible
250,edible
251,edible
252,edible
253,edible
254,edible
255,edible
256,edible
257,edible
258,edible
259,edible
260,edible
261,edible
262,edible
263,edible
264,edible
265,edible
266,edible
267,edible
268,edible
269,edible
270,edible
271,edible
272,edible
273,edible
274,edible
275,edible
276,edible
277,edible
278,edible
279,edible
280,edible
281,edible
282,edible
283,edible
284,edible
285,edible
286,edible
287,edible
288,edible
289,edible
290,edible
291,edible
292,edible
293,edible
294,edible
295,edible
296,edible
297,edible
298,edible
299,edible
300,edible
301,edible
302,edible
303,edible
304,edible
305,edible
306,edible
307,edible
308,edible
309,edible
