Id,Label
0,5
1,5
2,5
3,8
4,0
5,4
6,5
7,6
8,7
9,5
10,8
11,4
12,3
13,1
14,6
15,1
16,0
17,6
18,8
19,6
20,8
21,1
22,6
23,0
24,8
25,1
26,4
27,8
28,8
29,7
30,3
31,5
32,3
33,5
34,3
35,7
36,8
37,0
38,6
39,5
40,3
41,3
42,6
43,3
44,4
45,3
46,1
47,8
48,5
49,1
50,6
51,0
52,1
53,0
54,3
55,5
56,5
57,8
58,8
59,3
60,7
61,8
62,4
63,5
64,0
65,7
66,5
67,3
68,7
69,1
70,0
71,5
72,4
73,3
74,4
75,5
76,7
77,7
78,6
79,6
80,8
81,3
82,6
83,6
84,3
85,4
86,7
87,3
88,3
89,0
90,3
91,5
92,5
93,0
94,3
95,5
96,0
97,1
98,5
99,5
100,0
101,6
102,8
103,5
104,1
105,0
106,8
107,6
108,8
109,1
110,0
111,7
112,5
113,0
114,3
115,4
116,0
117,5
118,8
119,8
120,5
121,7
122,5
123,5
124,5
125,6
126,1
127,6
128,5
129,7
130,8
131,5
132,6
133,3
134,1
135,7
136,4
137,0
138,5
139,8
140,5
141,1
142,1
143,1
144,4
145,7
146,4
147,4
148,7
149,5
150,5
151,7
152,5
153,5
154,1
155,5
156,3
157,7
158,6
159,0
160,3
161,5
162,5
163,6
164,1
165,1
166,7
167,5
168,0
169,0
170,0
171,7
172,8
173,5
174,7
175,3
176,5
177,0
178,0
179,0
180,5
181,0
182,7
183,7
184,4
185,5
186,8
187,8
188,5
189,3
190,3
191,6
192,5
193,7
194,5
195,0
196,4
197,4
198,3
199,4
200,3
201,7
202,4
203,5
204,4
205,3
206,3
207,8
208,1
209,5
210,7
211,3
212,8
213,8
214,6
215,8
216,6
217,5
218,3
219,5
220,4
221,4
222,7
223,7
224,5
225,3
226,8
227,0
228,3
229,8
230,7
231,1
232,3
233,0
234,5
235,5
236,0
237,3
238,0
239,0
240,8
241,3
242,7
243,0
244,0
245,6
246,3
247,3
248,7
249,7
250,4
251,5
252,0
253,8
254,8
255,1
256,1
257,8
258,5
259,6
260,5
261,8
262,7
263,5
264,5
265,6
266,1
267,3
268,1
269,4
270,6
271,0
272,5
273,8
274,3
275,1
276,6
277,7
278,3
279,7
280,8
281,0
282,6
283,7
284,4
285,5
286,0
287,5
288,8
289,3
290,8
291,6
292,8
293,5
294,7
295,5
296,5
297,4
298,0
299,1
300,5
301,3
302,1
303,5
304,5
305,7
306,0
307,7
308,4
309,8
310,0
311,3
312,5
313,3
314,8
315,1
316,0
317,3
318,4
319,5
320,6
321,7
322,6
323,3
324,8
325,5
326,6
327,1
328,5
329,3
330,5
331,6
332,0
333,7
334,3
335,7
336,4
337,3
338,1
339,8
340,0
341,6
342,5
343,8
344,7
345,5
346,7
347,6
348,3
349,5
350,0
351,6
352,4
353,0
354,6
355,8
356,5
357,4
358,0
359,3
360,0
361,5
362,1
363,6
364,7
365,8
366,5
367,0
368,4
369,5
370,5
371,7
372,1
373,0
374,3
375,4
376,8
377,4
378,5
379,7
380,4
381,3
382,3
383,5
384,1
385,1
386,8
387,8
388,5
389,5
390,5
391,0
392,4
393,0
394,5
395,4
396,5
397,1
398,4
399,6
400,0
401,7
402,4
403,5
404,5
405,8
406,8
407,5
408,5
409,8
410,5
411,7
412,8
413,3
414,5
415,1
416,5
417,5
418,5
419,5
420,8
421,3
422,0
423,3
424,6
425,3
426,1
427,5
428,1
429,5
430,1
431,1
432,3
433,1
434,5
435,7
436,1
437,6
438,1
439,4
440,5
441,7
442,5
443,8
444,8
445,3
446,5
447,8
448,0
449,3
450,5
451,6
452,7
453,0
454,1
455,1
456,3
457,0
458,5
459,1
460,3
461,8
462,0
463,4
464,4
465,7
466,6
467,7
468,3
469,8
470,6
471,5
472,8
473,6
474,1
475,6
476,3
477,6
478,3
479,5
480,3
481,5
482,4
483,5
484,5
485,3
486,3
487,6
488,5
489,1
490,0
491,7
492,3
493,5
494,8
495,3
496,6
497,0
498,5
499,5
500,8
501,6
502,4
503,3
504,1
505,6
506,4
507,0
508,0
509,7
510,3
511,0
512,0
513,5
514,4
515,0
516,1
517,3
518,6
519,7
520,1
521,4
522,4
523,0
524,5
525,1
526,3
527,5
528,7
529,8
530,7
531,6
532,5
533,3
534,1
535,5
536,1
537,0
538,5
539,5
540,7
541,8
542,8
543,7
544,0
545,5
546,1
547,0
548,4
549,0
550,5
551,5
552,4
553,1
554,8
555,5
556,0
557,5
558,6
559,5
560,5
561,5
562,7
563,5
564,1
