Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37,Feature 38,Feature 39,Feature 40,Feature 41,Feature 42,Feature 43,Feature 44,Feature 45,Feature 46,Feature 47,Feature 48,Feature 49,Feature 50,Feature 51,Feature 52,Feature 53,Feature 54,Feature 55,Feature 56,Feature 57,Feature 58
13.0,241.0,0.587982830094,0.999999993789,0.62732918865,9.0,2.0,0.0,6.0,4.45228215768,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8100.0,1014.1,17300.0,843300.0,467610.0,3191.70588235,107933.333333,15997.9463984,8100.0,298400.0,153250.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.219232378774,0.0200063307241,0.0200003505002,0.720760735463,0.0200002045393,0.611375661376,0.216666666667,0.0580912863071,0.0165975103734,0.777777777778,0.222222222222,0.432142857143,0.1,1.0,-0.375,-0.6,-0.1,0.4,0.1,0.1,0.1
9.0,178.0,0.77142856702,0.999999990991,0.855855848145,6.0,5.0,0.0,0.0,4.71348314607,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,480.0,110.0,0.0,843300.0,265957.142857,0.0,5391.06252368,2792.13621962,4100.0,4100.0,4100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0286123073284,0.232470821807,0.0286780462534,0.68166662871,0.0285721959008,0.532142857143,0.120238095238,0.0337078651685,0.0224719101124,0.6,0.4,0.541666666667,0.1,1.0,-0.391666666667,-0.5,-0.333333333333,0.3,0.25,0.2,0.25
10.0,808.0,0.376606683321,0.999999998058,0.460194173864,47.0,9.0,10.0,1.0,4.57920792079,10.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,515.0,114.8,26900.0,843300.0,322650.0,2126.625,5932.11111111,3365.36366186,3900.0,3900.0,3900.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0201357913786,0.328290897184,0.0200119063866,0.0200511352576,0.611510269793,0.607781512605,0.131280112045,0.0606435643564,0.0371287128713,0.620253164557,0.379746835443,0.446166180758,0.1,1.0,-0.342777777778,-0.5,-0.05,0.825,0.3,0.325,0.3
12.0,869.0,0.508751457983,0.999999998081,0.689059499637,6.0,2.0,3.0,1.0,4.51093210587,10.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,723.0,137.8,2400.0,843300.0,248320.0,1339.57142857,5962.15789474,3121.63451802,1300.0,1300.0,1300.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0202835506348,0.0204443918022,0.268258373343,0.572670547115,0.118343137105,0.456202055832,0.0955335542373,0.0425776754891,0.0195627157652,0.685185185185,0.314814814815,0.320107347607,0.0625,1.0,-0.223972922502,-0.4,-0.0714285714286,0.0,0.0,0.5,0.0
14.0,718.0,0.494978478486,0.999999997738,0.660633482668,9.0,1.0,2.0,5.0,4.9721448468,5.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,23100.0,843300.0,263580.0,1996.275,3412.30066336,2466.80271641,494.0,494.0,494.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0400135489825,0.0400001099806,0.839981777163,0.0400000620483,0.0400045018258,0.360479429867,0.016488500162,0.025069637883,0.0264623955432,0.486486486486,0.513513513514,0.330687830688,0.1,0.7,-0.249707602339,-0.8,-0.1,0.0,0.0,0.5,0.0
12.0,189.0,0.735449731558,0.999999992,0.855999993152,4.0,3.0,0.0,1.0,4.86243386243,4.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,176.0,84.0,11600.0,843300.0,278675.0,1500.70149254,3276.25692637,2441.97789637,1300.0,11600.0,5433.33333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0500031192768,0.799198317608,0.0501376067823,0.0506609396039,0.0500000167293,0.513333333333,0.00166666666667,0.026455026455,0.021164021164,0.555555555556,0.444444444444,0.677272727273,0.136363636364,1.0,-0.583333333333,-1.0,-0.166666666667,1.0,-1.0,0.5,1.0
8.0,306.0,0.716845875567,0.999999994819,0.844559581116,6.0,5.0,0.0,21.0,4.57843137255,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,791.0,224.75,6600.0,843300.0,508425.0,2208.11764706,6864.23809524,4606.19216875,4200.0,36500.0,21166.6666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.294210809108,0.025116725828,0.150059875245,0.505603130191,0.0250094596286,0.506885964912,0.0555646929825,0.0522875816993,0.0522875816993,0.5,0.5,0.437083333333,0.15,1.0,-0.306875,-0.6,-0.05,0.666666666667,-0.166666666667,0.166666666667,0.166666666667
9.0,3058.0,0.385200553117,0.99999999946,0.549919049892,44.0,2.0,26.0,0.0,4.61478090255,10.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,488.0,193.9,3500.0,843300.0,202050.0,1510.06666667,4525.55252918,3121.68413962,3700.0,3700.0,3700.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.530339781265,0.020725652355,0.186434735918,0.0200342282636,0.242465602199,0.459553130085,0.169623407326,0.0454545454545,0.0107913669065,0.808139534884,0.191860465116,0.346698277741,0.0333333333333,1.0,-0.232383357383,-0.75,-0.05,0.0,0.0,0.5,0.0
11.0,1458.0,0.416017008918,0.999999998889,0.574444443806,42.0,8.0,5.0,3.0,5.07133058985,7.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1600.0,469.666666667,0.0,843300.0,187085.714286,0.0,7500.0,3389.15162838,121.0,13400.0,2555.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0285737737221,0.0285733110256,0.312381755968,0.0285725549175,0.601898604367,0.355064555328,-0.0158659907344,0.0246913580247,0.0205761316872,0.545454545455,0.454545454545,0.237732984608,0.0333333333333,0.5,-0.328703703704,-1.0,-0.05,0.05,-0.2,0.45,0.2
9.0,817.0,0.503160555622,0.999999997972,0.67342799052,10.0,5.0,11.0,0.0,4.71603427173,9.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,976.0,326.555555556,1900.0,843300.0,223377.777778,1405.5,5821.68604651,3416.66602679,2400.0,2400.0,2400.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.313090794199,0.0222434439191,0.204570455118,0.022268109108,0.437827197656,0.520751070423,0.228488160291,0.0538555691554,0.00979192166463,0.846153846154,0.153846153846,0.39303030303,0.0333333333333,1.0,-0.225694444444,-0.5,-0.125,0.0,0.0,0.5,0.0
